==3912== NVPROF is profiling process 3912, command: ./maud_stream.exe -B 1024 -N 100000
==3912==  STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 1024 threads per block, 98 blocks
Function      Rate (MB/s)   Avg time
Copy:      55154.79394498   0.00001450
Scale:     55676.04691813   0.00001437
Add:       82321.77401726   0.00001458
Triad:     81527.57458897   0.00001472
Profiling application: ./maud_stream.exe -B 1024 -N 100000
==3912== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
495.811058,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",1015
495.825297,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",1021
495.839633,2.304000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",1028
495.854001,2.368000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",1035
495.869585,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",1043
495.883761,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",1049
495.897873,2.336000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",1056
495.912145,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",1063
495.927505,2.399000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",1071
495.941552,2.304000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",1077
495.955984,2.304000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",1084
